from,to,timestamp,type,user_id
S0,null,2024-06-03 10:07:24.300,Res,45
S4,S0,2024-06-03 10:07:24.300,Res,45
S4_3,S4,2024-06-03 10:07:24.300,Res,45
S4,S4_3,2024-06-03 10:07:18.500,Req,45
S0,S4,2024-06-03 10:07:18.500,Req,45
S5,S0,2024-06-03 10:07:18.500,Res,45
S5_2,S5,2024-06-03 10:07:18.500,Res,45
S5_2_1,S5_2,2024-06-03 10:07:18.500,Res,45
S5_2,S5_2_1,2024-06-03 10:07:15.300,Req,45
S5,S5_2,2024-06-03 10:07:15.300,Req,45
S0,S5,2024-06-03 10:07:15.300,Req,45
S3,S0,2024-06-03 10:07:15.300,Res,45
S3_3,S3,2024-06-03 10:07:15.300,Res,45
S3,S3_3,2024-06-03 10:07:12.500,Req,45
S3_2,S3,2024-06-03 10:07:12.500,Res,45
S3,S3_2,2024-06-03 10:07:10.000,Req,45
S3_1,S3,2024-06-03 10:07:10.000,Res,45
S3,S3_1,2024-06-03 10:07:07.000,Req,45
S0,S3,2024-06-03 10:07:07.000,Req,45
null,S0,2024-06-03 10:07:07.000,Req,45
S0,null,2024-06-03 10:04:47.300,Res,46
S4,S0,2024-06-03 10:04:47.300,Res,46
S4_1,S4,2024-06-03 10:04:47.300,Res,46
S4,S4_1,2024-06-03 10:04:42.500,Req,46
S0,S4,2024-06-03 10:04:42.500,Req,46
S3,S0,2024-06-03 10:04:42.500,Res,46
S3_3,S3,2024-06-03 10:04:42.500,Res,46
S3,S3_3,2024-06-03 10:04:39.700,Req,46
S3_2,S3,2024-06-03 10:04:39.700,Res,46
S3,S3_2,2024-06-03 10:04:35.300,Req,46
S3_1,S3,2024-06-03 10:04:35.300,Res,46
S3,S3_1,2024-06-03 10:04:30.300,Req,46
S0,S3,2024-06-03 10:04:30.300,Req,46
S2,S0,2024-06-03 10:04:30.300,Res,46
S2_1,S2,2024-06-03 10:04:30.300,Res,46
S2,S2_1,2024-06-03 10:04:29.800,Req,46
S2_3,S2,2024-06-03 10:04:29.800,Res,46
S2,S2_3,2024-06-03 10:04:28.600,Req,46
S2_5,S2,2024-06-03 10:04:28.600,Res,46
S2,S2_5,2024-06-03 10:04:27.800,Req,46
S2_2,S2,2024-06-03 10:04:27.800,Res,46
S2,S2_2,2024-06-03 10:04:26.600,Req,46
S2_4,S2,2024-06-03 10:04:26.600,Res,46
S2,S2_4,2024-06-03 10:04:25.700,Req,46
S0,S2,2024-06-03 10:04:25.700,Req,46
S1,S0,2024-06-03 10:04:25.700,Res,46
S1_3,S1,2024-06-03 10:04:25.700,Res,46
S1,S1_3,2024-06-03 10:04:25.000,Req,46
S0,S1,2024-06-03 10:04:25.000,Req,46
null,S0,2024-06-03 10:04:25.000,Req,46
S0,null,2024-06-03 09:11:40.200,Res,47
S3,S0,2024-06-03 09:11:40.200,Res,47
S3_3,S3,2024-06-03 09:11:40.200,Res,47
S3,S3_3,2024-06-03 09:11:38.100,Req,47
S3_2,S3,2024-06-03 09:11:38.100,Res,47
S3,S3_2,2024-06-03 09:11:36.500,Req,47
S3_1,S3,2024-06-03 09:11:36.500,Res,47
S3,S3_1,2024-06-03 09:11:34.100,Req,47
S0,S3,2024-06-03 09:11:34.100,Req,47
S4,S0,2024-06-03 09:11:34.100,Res,47
S4_5,S4,2024-06-03 09:11:34.100,Res,47
S4,S4_5,2024-06-03 09:11:26.000,Req,47
S0,S4,2024-06-03 09:11:26.000,Req,47
null,S0,2024-06-03 09:11:26.000,Req,47
S0,null,2024-06-03 09:44:20.000,Res,48
S4,S0,2024-06-03 09:44:20.000,Res,48
S4_4,S4,2024-06-03 09:44:20.000,Res,48
S4,S4_4,2024-06-03 09:44:12.300,Req,48
S0,S4,2024-06-03 09:44:12.300,Req,48
S2,S0,2024-06-03 09:44:12.300,Res,48
S2_5,S2,2024-06-03 09:44:12.300,Res,48
S2,S2_5,2024-06-03 09:44:11.400,Req,48
S0,S2,2024-06-03 09:44:11.400,Req,48
S1,S0,2024-06-03 09:44:11.400,Res,48
S1_3,S1,2024-06-03 09:44:11.400,Res,48
S1,S1_3,2024-06-03 09:44:10.700,Req,48
S0,S1,2024-06-03 09:44:10.700,Req,48
S5,S0,2024-06-03 09:44:10.700,Res,48
S5_1,S5,2024-06-03 09:44:10.700,Res,48
S5_1_2,S5_1,2024-06-03 09:44:10.700,Res,48
S5_1,S5_1_2,2024-06-03 09:44:01.500,Req,48
S5,S5_1,2024-06-03 09:44:01.500,Req,48
S0,S5,2024-06-03 09:44:01.500,Req,48
S3,S0,2024-06-03 09:44:01.500,Res,48
S3_3,S3,2024-06-03 09:44:01.500,Res,48
S3,S3_3,2024-06-03 09:43:56.800,Req,48
S3_2,S3,2024-06-03 09:43:56.800,Res,48
S3,S3_2,2024-06-03 09:43:52.600,Req,48
S3_1,S3,2024-06-03 09:43:52.600,Res,48
S3,S3_1,2024-06-03 09:43:49.000,Req,48
S0,S3,2024-06-03 09:43:49.000,Req,48
null,S0,2024-06-03 09:43:49.000,Req,48
null,S0,2024-06-03 09:59:06.000,Req,1
S0,S4,2024-06-03 09:59:06.000,Req,1
S4,S4_3,2024-06-03 09:59:06.000,Req,1
S4_3,S4,2024-06-03 09:59:07.200,Res,1
S4,S0,2024-06-03 09:59:07.200,Res,1
S0,S1,2024-06-03 09:59:07.200,Req,1
S1,S1_2,2024-06-03 09:59:07.200,Req,1
S1_2,S1,2024-06-03 09:59:07.300,Res,1
S1,S0,2024-06-03 09:59:07.300,Res,1
S0,S2,2024-06-03 09:59:07.300,Req,1
S2,S2_4,2024-06-03 09:59:07.300,Req,1
S2_4,S2,2024-06-03 09:59:08.600,Res,1
S2,S2_1,2024-06-03 09:59:08.600,Req,1
S2_1,S2,2024-06-03 09:59:09.400,Res,1
S2,S2_2,2024-06-03 09:59:09.400,Req,1
S2_2,S2,2024-06-03 09:59:10.000,Res,1
S2,S0,2024-06-03 09:59:10.000,Res,1
S0,S3,2024-06-03 09:59:10.000,Req,1
S3,S3_1,2024-06-03 09:59:10.000,Req,1
S3_1,S3,2024-06-03 09:59:14.400,Res,1
S3,S3_2,2024-06-03 09:59:14.400,Req,1
S3_2,S3,2024-06-03 09:59:17.300,Res,1
S3,S3_3,2024-06-03 09:59:17.300,Req,1
S3_3,S3,2024-06-03 09:59:22.000,Res,1
S3,S0,2024-06-03 09:59:22.000,Res,1
S0,null,2024-06-03 09:59:22.000,Res,1
null,S0,2024-06-03 10:28:52.000,Req,4
S0,S3,2024-06-03 10:28:52.000,Req,4
S3,S3_1,2024-06-03 10:28:52.000,Req,4
S3_1,S3,2024-06-03 10:28:56.700,Res,4
S3,S3_2,2024-06-03 10:28:56.700,Req,4
S3_2,S3,2024-06-03 10:28:58.600,Res,4
S3,S3_3,2024-06-03 10:28:58.600,Req,4
S3_3,S3,2024-06-03 10:29:01.300,Res,4
S3,S0,2024-06-03 10:29:01.300,Res,4
S0,S1,2024-06-03 10:29:01.300,Req,4
S1,S1_2,2024-06-03 10:29:01.300,Req,4
S1_2,S1,2024-06-03 10:29:01.700,Res,4
S1,S0,2024-06-03 10:29:01.700,Res,4
S0,S2,2024-06-03 10:29:01.700,Req,4
S2,S2_4,2024-06-03 10:29:01.700,Req,4
S2_4,S2,2024-06-03 10:29:02.800,Res,4
S2,S2_1,2024-06-03 10:29:02.800,Req,4
S2_1,S2,2024-06-03 10:29:04.300,Res,4
S2,S0,2024-06-03 10:29:04.300,Res,4
S0,S4,2024-06-03 10:29:04.300,Req,4
S4,S4_1,2024-06-03 10:29:04.300,Req,4
S4_1,S4,2024-06-03 10:29:12.900,Res,4
S4,S0,2024-06-03 10:29:12.900,Res,4
S0,null,2024-06-03 10:29:12.900,Res,4
null,S0,2024-06-03 10:09:41.000,Req,6
S0,S2,2024-06-03 10:09:41.000,Req,6
S2,S2_4,2024-06-03 10:09:41.000,Req,6
S2_4,S2,2024-06-03 10:09:42.200,Res,6
S2,S2_5,2024-06-03 10:09:42.200,Req,6
S2_5,S2,2024-06-03 10:09:43.600,Res,6
S2,S2_3,2024-06-03 10:09:43.600,Req,6
S2_3,S2,2024-06-03 10:09:44.600,Res,6
S2,S2_2,2024-06-03 10:09:44.600,Req,6
S2_2,S2,2024-06-03 10:09:45.200,Res,6
S2,S0,2024-06-03 10:09:45.200,Res,6
S0,S5,2024-06-03 10:09:45.200,Req,6
S5,S5_2,2024-06-03 10:09:45.200,Req,6
S5_2,S5_2_1,2024-06-03 10:09:45.200,Req,6
S5_2_1,S5_2,2024-06-03 10:09:52.600,Res,6
S5_2,S5,2024-06-03 10:09:52.600,Res,6
S5,S0,2024-06-03 10:09:52.600,Res,6
S0,S3,2024-06-03 10:09:52.600,Req,6
S3,S3_1,2024-06-03 10:09:52.600,Req,6
S3_1,S3,2024-06-03 10:09:56.100,Res,6
S3,S3_2,2024-06-03 10:09:56.100,Req,6
S3_2,S3,2024-06-03 10:09:59.100,Res,6
S3,S3_3,2024-06-03 10:09:59.100,Req,6
S3_3,S3,2024-06-03 10:10:03.900,Res,6
S3,S0,2024-06-03 10:10:03.900,Res,6
S0,S4,2024-06-03 10:10:03.900,Req,6
S4,S4_4,2024-06-03 10:10:03.900,Req,6
S4_4,S4,2024-06-03 10:10:13.800,Res,6
S4,S0,2024-06-03 10:10:13.800,Res,6
S0,S1,2024-06-03 10:10:13.800,Req,6
S1,S1_2,2024-06-03 10:10:13.800,Req,6
S1_2,S1,2024-06-03 10:10:14.100,Res,6
S1,S0,2024-06-03 10:10:14.100,Res,6
S0,null,2024-06-03 10:10:14.100,Res,6
null,S0,2024-06-03 09:57:11.000,Req,10
S0,S3,2024-06-03 09:57:11.000,Req,10
S3,S3_1,2024-06-03 09:57:11.000,Req,10
S3_1,S3,2024-06-03 09:57:13.100,Res,10
S3,S3_2,2024-06-03 09:57:13.100,Req,10
S3_2,S3,2024-06-03 09:57:16.100,Res,10
S3,S3_3,2024-06-03 09:57:16.100,Req,10
S3_3,S3,2024-06-03 09:57:18.900,Res,10
S3,S0,2024-06-03 09:57:18.900,Res,10
S0,S4,2024-06-03 09:57:18.900,Req,10
S4,S4_3,2024-06-03 09:57:18.900,Req,10
S4_3,S4,2024-06-03 09:57:26.600,Res,10
S4,S0,2024-06-03 09:57:26.600,Res,10
S0,S2,2024-06-03 09:57:26.600,Req,10
S2,S2_3,2024-06-03 09:57:26.600,Req,10
S2_3,S2,2024-06-03 09:57:27.800,Res,10
S2,S2_2,2024-06-03 09:57:27.800,Req,10
S2_2,S2,2024-06-03 09:57:28.800,Res,10
S2,S2_4,2024-06-03 09:57:28.800,Req,10
S2_4,S2,2024-06-03 09:57:29.300,Res,10
S2,S2_5,2024-06-03 09:57:29.300,Req,10
S2_5,S2,2024-06-03 09:57:29.900,Res,10
S2,S2_1,2024-06-03 09:57:29.900,Req,10
S2_1,S2,2024-06-03 09:57:31.200,Res,10
S2,S0,2024-06-03 09:57:31.200,Res,10
S0,null,2024-06-03 09:57:31.200,Res,10
null,S0,2024-06-03 09:02:51.000,Req,11
S0,S4,2024-06-03 09:02:51.000,Req,11
S4,S4_4,2024-06-03 09:02:51.000,Req,11
S4_4,S4,2024-06-03 09:03:00.500,Res,11
S4,S0,2024-06-03 09:03:00.500,Res,11
S0,S5,2024-06-03 09:03:00.500,Req,11
S5,S5_2,2024-06-03 09:03:00.500,Req,11
S5_2,S5_2_2,2024-06-03 09:03:00.500,Req,11
S5_2_2,S5_2,2024-06-03 09:03:03.700,Res,11
S5_2,S5,2024-06-03 09:03:03.700,Res,11
S5,S0,2024-06-03 09:03:03.700,Res,11
S0,null,2024-06-03 09:03:03.700,Res,11
null,S0,2024-06-03 09:52:09.000,Req,13
S0,S1,2024-06-03 09:52:09.000,Req,13
