from,to,timestamp,type,user_id
null,S0,2024-06-03 09:19:50.000,Req,0001
S0,S1,2024-06-03 09:19:50.000,Req,0001
S1,S1_2,2024-06-03 09:19:50.000,Req,0001
S1_2,S1,2024-06-03 09:19:50.000,Res,0001
S1,S0,2024-06-03 09:19:50.000,Res,0001
S0,S2,2024-06-03 09:19:50.000,Req,0001
S2,S2_3,2024-06-03 09:19:50.000,Req,0001
S2_3,S2,2024-06-03 09:19:50.900,Res,0001
S2,S2_2,2024-06-03 09:19:50.900,Req,0001
S2_2,S2,2024-06-03 09:19:51.600,Res,0001
S2,S2_5,2024-06-03 09:19:51.600,Req,0001
S2_5,S2,2024-06-03 09:19:52.400,Res,0001
S2,S2_4,2024-06-03 09:19:52.400,Req,0001
S2_4,S2,2024-06-03 09:19:53.000,Res,0001
S2,S0,2024-06-03 09:19:53.000,Res,0001
S0,S3,2024-06-03 09:19:53.000,Req,0001
S3,S3_1,2024-06-03 09:19:53.000,Req,0001
S3_1,S3,2024-06-03 09:19:57.500,Res,0001
S3,S3_2,2024-06-03 09:19:57.500,Req,0001
S3_2,S3,2024-06-03 09:20:01.200,Res,0001
S3,S3_3,2024-06-03 09:20:01.200,Req,0001
S3_3,S3,2024-06-03 09:20:04.400,Res,0001
S3,S0,2024-06-03 09:20:04.400,Res,0001
S0,S4,2024-06-03 09:20:04.400,Req,0001
S4,S4_2,2024-06-03 09:20:04.400,Req,0001
S4_2,S4,2024-06-03 09:20:11.200,Res,0001
S4,S0,2024-06-03 09:20:11.200,Res,0001
S0,null,2024-06-03 09:20:11.200,Res,0001
null,S0,2024-06-03 09:29:50.000,Req,0002
S0,S1,2024-06-03 09:29:50.000,Req,0002
S1,S1_3,2024-06-03 09:29:50.000,Req,0002
S1_3,S1,2024-06-03 09:29:50.600,Res,0002
S1,S0,2024-06-03 09:29:50.600,Res,0002
S0,S2,2024-06-03 09:29:50.600,Req,0002
S2,S2_5,2024-06-03 09:29:50.600,Req,0002
S2_5,S2,2024-06-03 09:29:52.000,Res,0002
S2,S2_3,2024-06-03 09:29:52.000,Req,0002
S2_3,S2,2024-06-03 09:29:52.800,Res,0002
S2,S0,2024-06-03 09:29:52.800,Res,0002
S0,S3,2024-06-03 09:29:52.800,Req,0002
S3,S3_1,2024-06-03 09:29:52.800,Req,0002
S3_1,S3,2024-06-03 09:29:57.800,Res,0002
S3,S3_2,2024-06-03 09:29:57.800,Req,0002
S3_2,S3,2024-06-03 09:30:00.300,Res,0002
S3,S3_3,2024-06-03 09:30:00.300,Req,0002
S3_3,S3,2024-06-03 09:30:03.900,Res,0002
S3,S0,2024-06-03 09:30:03.900,Res,0002
S0,S4,2024-06-03 09:30:03.900,Req,0002
S4,S4_1,2024-06-03 09:30:03.900,Req,0002
S4_1,S4,2024-06-03 09:30:11.200,Res,0002
