from,to,timestamp,type,user_id
null,S0,2024-06-03T10:17:08.000+02:00,Req,1
S0,S1,2024-06-03T10:17:08.000+02:00,Req,1
S1,S1_2,2024-06-03T10:17:08.000+02:00,Req,1
S1_2,S1,2024-06-03T10:17:08.000+02:00,Res,1
S1,S0,2024-06-03T10:17:08.000+02:00,Res,1
S0,S2,2024-06-03T10:17:08.000+02:00,Req,1
S2,S2_2,2024-06-03T10:17:08.000+02:00,Req,1
S2_2,S2,2024-06-03T10:17:08.900+02:00,Res,1
S2,S2_4,2024-06-03T10:17:08.900+02:00,Req,1
S2_4,S2,2024-06-03T10:17:10.100+02:00,Res,1
S2,S0,2024-06-03T10:17:10.100+02:00,Res,1
S0,S3,2024-06-03T10:17:10.100+02:00,Req,1
S3,S3_1,2024-06-03T10:17:10.100+02:00,Req,1
S3_1,S3,2024-06-03T10:17:14.200+02:00,Res,1
S3,S3_2,2024-06-03T10:17:14.200+02:00,Req,1
S3_2,S3,2024-06-03T10:17:16.500+02:00,Res,1
S3,S3_3,2024-06-03T10:17:16.500+02:00,Req,1
S3_3,S3,2024-06-03T10:17:19.400+02:00,Res,1
S3,S0,2024-06-03T10:17:19.400+02:00,Res,1
S0,S4,2024-06-03T10:17:19.400+02:00,Req,1
S4,S4_4,2024-06-03T10:17:19.400+02:00,Req,1
S4_4,S4,2024-06-03T10:17:22.100+02:00,Res,1
S4,S0,2024-06-03T10:17:22.100+02:00,Res,1
S0,S5,2024-06-03T10:17:22.100+02:00,Req,1
S5,S0,2024-06-03T10:17:22.100+02:00,Res,1
S0,null,2024-06-03T10:17:22.100+02:00,Res,1
null,S0,2024-06-03T09:50:38.000+02:00,Req,2
S0,S1,2024-06-03T09:50:38.000+02:00,Req,2
S1,S1_2,2024-06-03T09:50:38.000+02:00,Req,2
S1_2,S1,2024-06-03T09:50:38.000+02:00,Res,2
S1,S0,2024-06-03T09:50:38.000+02:00,Res,2
S0,S2,2024-06-03T09:50:38.000+02:00,Req,2
S2,S2_3,2024-06-03T09:50:38.000+02:00,Req,2
S2_3,S2,2024-06-03T09:50:38.800+02:00,Res,2
S2,S2_4,2024-06-03T09:50:38.800+02:00,Req,2
S2_4,S2,2024-06-03T09:50:39.800+02:00,Res,2
S2,S2_2,2024-06-03T09:50:39.800+02:00,Req,2
S2_2,S2,2024-06-03T09:50:40.600+02:00,Res,2
S2,S2_5,2024-06-03T09:50:40.600+02:00,Req,2
S2_5,S2,2024-06-03T09:50:41.200+02:00,Res,2
S2,S2_1,2024-06-03T09:50:41.200+02:00,Req,2
S2_1,S2,2024-06-03T09:50:42.300+02:00,Res,2
S2,S0,2024-06-03T09:50:42.300+02:00,Res,2
S0,S3,2024-06-03T09:50:42.300+02:00,Req,2
S3,S3_1,2024-06-03T09:50:42.300+02:00,Req,2
S3_1,S3,2024-06-03T09:50:46.500+02:00,Res,2
S3,S3_2,2024-06-03T09:50:46.500+02:00,Req,2
S3_2,S3,2024-06-03T09:50:48.700+02:00,Res,2
S3,S3_3,2024-06-03T09:50:48.700+02:00,Req,2
S3_3,S3,2024-06-03T09:50:53.200+02:00,Res,2
S3,S0,2024-06-03T09:50:53.200+02:00,Res,2
S0,S4,2024-06-03T09:50:53.200+02:00,Req,2
S4,S4_3,2024-06-03T09:50:53.200+02:00,Req,2
S4_3,S4,2024-06-03T09:51:00.300+02:00,Res,2
S4,S0,2024-06-03T09:51:00.300+02:00,Res,2
S0,S5,2024-06-03T09:51:00.300+02:00,Req,2
S5,S0,2024-06-03T09:51:00.300+02:00,Res,2
S0,null,2024-06-03T09:51:00.300+02:00,Res,2
null,S0,2024-06-03T09:36:49.000+02:00,Req,3
S0,S1,2024-06-03T09:36:49.000+02:00,Req,3
S1,S1_3,2024-06-03T09:36:49.000+02:00,Req,3
S1_3,S1,2024-06-03T09:36:49.700+02:00,Res,3
S1,S0,2024-06-03T09:36:49.700+02:00,Res,3
S0,S2,2024-06-03T09:36:49.700+02:00,Req,3
S2,S2_2,2024-06-03T09:36:49.700+02:00,Req,3
S2_2,S2,2024-06-03T09:36:51.200+02:00,Res,3
S2,S2_5,2024-06-03T09:36:51.200+02:00,Req,3
S2_5,S2,2024-06-03T09:36:52.200+02:00,Res,3
S2,S0,2024-06-03T09:36:52.200+02:00,Res,3
S0,S3,2024-06-03T09:36:52.200+02:00,Req,3
S3,S3_1,2024-06-03T09:36:52.200+02:00,Req,3
S3_1,S3,2024-06-03T09:36:55.400+02:00,Res,3
S3,S3_2,2024-06-03T09:36:55.400+02:00,Req,3
S3_2,S3,2024-06-03T09:37:00.200+02:00,Res,3
S3,S3_3,2024-06-03T09:37:00.200+02:00,Req,3
