from,to,timestamp,type,user_id
S0,null,2024-06-03 09:29:06.900,Res,44
S2,S0,2024-06-03 09:29:06.900,Res,44
S2_3,S2,2024-06-03 09:29:06.900,Res,44
S2,S2_3,2024-06-03 09:29:05.700,Req,44
S2_1,S2,2024-06-03 09:29:05.700,Res,44
S2,S2_1,2024-06-03 09:29:04.500,Req,44
S2_4,S2,2024-06-03 09:29:04.500,Res,44
S2,S2_4,2024-06-03 09:29:03.600,Req,44
S2_5,S2,2024-06-03 09:29:03.600,Res,44
S2,S2_5,2024-06-03 09:29:02.400,Req,44
S0,S2,2024-06-03 09:29:02.400,Req,44
S4,S0,2024-06-03 09:29:02.400,Res,44
S4_5,S4,2024-06-03 09:29:02.400,Res,44
S4,S4_5,2024-06-03 09:28:58.400,Req,44
S0,S4,2024-06-03 09:28:58.400,Req,44
S3,S0,2024-06-03 09:28:58.400,Res,44
S3_3,S3,2024-06-03 09:28:58.400,Res,44
S3,S3_3,2024-06-03 09:28:54.200,Req,44
S3_2,S3,2024-06-03 09:28:54.200,Res,44
S3,S3_2,2024-06-03 09:28:49.700,Req,44
S3_1,S3,2024-06-03 09:28:49.700,Res,44
S3,S3_1,2024-06-03 09:28:47.200,Req,44
S0,S3,2024-06-03 09:28:47.200,Req,44
S5,S0,2024-06-03 09:28:47.200,Res,44
S5_1,S5,2024-06-03 09:28:47.200,Res,44
S5_1_1,S5_1,2024-06-03 09:28:47.200,Res,44
S5_1,S5_1_1,2024-06-03 09:28:42.000,Req,44
S5,S5_1,2024-06-03 09:28:42.000,Req,44
S0,S5,2024-06-03 09:28:42.000,Req,44
null,S0,2024-06-03 09:28:42.000,Req,44
S0,null,2024-06-03 10:21:24.700,Res,45
S5,S0,2024-06-03 10:21:24.700,Res,45
S5_2,S5,2024-06-03 10:21:24.700,Res,45
S5_2_2,S5_2,2024-06-03 10:21:24.700,Res,45
S5_2,S5_2_2,2024-06-03 10:21:20.000,Req,45
S5,S5_2,2024-06-03 10:21:20.000,Req,45
S0,S5,2024-06-03 10:21:20.000,Req,45
S1,S0,2024-06-03 10:21:20.000,Res,45
S1_2,S1,2024-06-03 10:21:20.000,Res,45
S1,S1_2,2024-06-03 10:21:19.200,Req,45
S0,S1,2024-06-03 10:21:19.200,Req,45
S3,S0,2024-06-03 10:21:19.200,Res,45
S3_3,S3,2024-06-03 10:21:19.200,Res,45
S3,S3_3,2024-06-03 10:21:14.300,Req,45
S3_2,S3,2024-06-03 10:21:14.300,Res,45
S3,S3_2,2024-06-03 10:21:10.100,Req,45
S3_1,S3,2024-06-03 10:21:10.100,Res,45
S3,S3_1,2024-06-03 10:21:06.000,Req,45
S0,S3,2024-06-03 10:21:06.000,Req,45
null,S0,2024-06-03 10:21:06.000,Req,45
S0,null,2024-06-03 10:10:53.100,Res,46
S5,S0,2024-06-03 10:10:53.100,Res,46
S5_1,S5,2024-06-03 10:10:53.100,Res,46
S5_1_1,S5_1,2024-06-03 10:10:53.100,Res,46
S5_1,S5_1_1,2024-06-03 10:10:47.300,Req,46
S5,S5_1,2024-06-03 10:10:47.300,Req,46
S0,S5,2024-06-03 10:10:47.300,Req,46
S1,S0,2024-06-03 10:10:47.300,Res,46
S1_2,S1,2024-06-03 10:10:47.300,Res,46
S1,S1_2,2024-06-03 10:10:46.500,Req,46
S0,S1,2024-06-03 10:10:46.500,Req,46
S3,S0,2024-06-03 10:10:46.500,Res,46
S3_3,S3,2024-06-03 10:10:46.500,Res,46
S3,S3_3,2024-06-03 10:10:42.800,Req,46
S3_2,S3,2024-06-03 10:10:42.800,Res,46
S3,S3_2,2024-06-03 10:10:38.300,Req,46
S3_1,S3,2024-06-03 10:10:38.300,Res,46
S3,S3_1,2024-06-03 10:10:35.200,Req,46
S0,S3,2024-06-03 10:10:35.200,Req,46
S4,S0,2024-06-03 10:10:35.200,Res,46
S4_1,S4,2024-06-03 10:10:35.200,Res,46
S4,S4_1,2024-06-03 10:10:29.000,Req,46
S0,S4,2024-06-03 10:10:29.000,Req,46
null,S0,2024-06-03 10:10:29.000,Req,46
S0,null,2024-06-03 10:34:45.100,Res,47
S4,S0,2024-06-03 10:34:45.100,Res,47
S4_4,S4,2024-06-03 10:34:45.100,Res,47
S4,S4_4,2024-06-03 10:34:41.400,Req,47
S0,S4,2024-06-03 10:34:41.400,Req,47
S5,S0,2024-06-03 10:34:41.400,Res,47
S5_1,S5,2024-06-03 10:34:41.400,Res,47
S5_1_2,S5_1,2024-06-03 10:34:41.400,Res,47
S5_1,S5_1_2,2024-06-03 10:34:38.000,Req,47
S5,S5_1,2024-06-03 10:34:38.000,Req,47
S0,S5,2024-06-03 10:34:38.000,Req,47
null,S0,2024-06-03 10:34:38.000,Req,47
S0,null,2024-06-03 09:10:41.100,Res,48
S1,S0,2024-06-03 09:10:41.100,Res,48
S1_3,S1,2024-06-03 09:10:41.100,Res,48
S1,S1_3,2024-06-03 09:10:40.400,Req,48
S0,S1,2024-06-03 09:10:40.400,Req,48
S4,S0,2024-06-03 09:10:40.400,Res,48
S4_3,S4,2024-06-03 09:10:40.400,Res,48
S4,S4_3,2024-06-03 09:10:37.000,Req,48
S0,S4,2024-06-03 09:10:37.000,Req,48
S2,S0,2024-06-03 09:10:37.000,Res,48
S2_1,S2,2024-06-03 09:10:37.000,Res,48
S2,S2_1,2024-06-03 09:10:35.500,Req,48
S2_3,S2,2024-06-03 09:10:35.500,Res,48
S2,S2_3,2024-06-03 09:10:34.800,Req,48
S0,S2,2024-06-03 09:10:34.800,Req,48
S5,S0,2024-06-03 09:10:34.800,Res,48
S5_1,S5,2024-06-03 09:10:34.800,Res,48
S5_1_2,S5_1,2024-06-03 09:10:34.800,Res,48
S5_1,S5_1_2,2024-06-03 09:10:29.200,Req,48
S5,S5_1,2024-06-03 09:10:29.200,Req,48
S0,S5,2024-06-03 09:10:29.200,Req,48
S3,S0,2024-06-03 09:10:29.200,Res,48
S3_3,S3,2024-06-03 09:10:29.200,Res,48
S3,S3_3,2024-06-03 09:10:27.100,Req,48
S3_2,S3,2024-06-03 09:10:27.100,Res,48
S3,S3_2,2024-06-03 09:10:25.100,Req,48
S3_1,S3,2024-06-03 09:10:25.100,Res,48
S3,S3_1,2024-06-03 09:10:22.000,Req,48
S0,S3,2024-06-03 09:10:22.000,Req,48
null,S0,2024-06-03 09:10:22.000,Req,48
S0,null,2024-06-03 09:57:59.900,Res,49
S1,S0,2024-06-03 09:57:59.900,Res,49
S1_1,S1,2024-06-03 09:57:59.900,Res,49
S1,S1_1,2024-06-03 09:57:59.300,Req,49
S0,S1,2024-06-03 09:57:59.300,Req,49
S4,S0,2024-06-03 09:57:59.300,Res,49
S4_3,S4,2024-06-03 09:57:59.300,Res,49
S4,S4_3,2024-06-03 09:57:56.000,Req,49
S0,S4,2024-06-03 09:57:56.000,Req,49
S5,S0,2024-06-03 09:57:56.000,Res,49
S5_2,S5,2024-06-03 09:57:56.000,Res,49
S5_2_2,S5_2,2024-06-03 09:57:56.000,Res,49
S5_2,S5_2_2,2024-06-03 09:57:49.600,Req,49
S5,S5_2,2024-06-03 09:57:49.600,Req,49
S0,S5,2024-06-03 09:57:49.600,Req,49
S3,S0,2024-06-03 09:57:49.600,Res,49
S3_3,S3,2024-06-03 09:57:49.600,Res,49
S3,S3_3,2024-06-03 09:57:45.100,Req,49
S3_2,S3,2024-06-03 09:57:45.100,Res,49
