Group: {1}
1:
< null, S0, 2024-06-03 10:38:32, Req, 1 >
< S0, S5, 2024-06-03 10:38:32, Req, 1 >
< S5, S5_2, 2024-06-03 10:38:32, Req, 1 >
< S5_2, S5_2_1, 2024-06-03 10:38:32, Req, 1 >
< S5_2_1, S5_2, 2024-06-03 10:38:35.100000, Res, 1 >
< S5_2, S5, 2024-06-03 10:38:35.100000, Res, 1 >
< S5, S0, 2024-06-03 10:38:35.100000, Res, 1 >
< S0, S1, 2024-06-03 10:38:35.100000, Req, 1 >
< S1, S1_2, 2024-06-03 10:38:35.100000, Req, 1 >
< S1_2, S1, 2024-06-03 10:38:36.100000, Res, 1 >
< S1, S0, 2024-06-03 10:38:36.100000, Res, 1 >
< S0, S3, 2024-06-03 10:38:36.100000, Req, 1 >
< S3, S3_1, 2024-06-03 10:38:36.100000, Req, 1 >
< S3_1, S3, 2024-06-03 10:38:38.900000, Res, 1 >
< S3, S3_2, 2024-06-03 10:38:38.900000, Req, 1 >
< S3_2, S3, 2024-06-03 10:38:42.200000, Res, 1 >
< S3, S3_3, 2024-06-03 10:38:42.200000, Req, 1 >
< S3_3, S3, 2024-06-03 10:38:43.800000, Res, 1 >
< S3, S0, 2024-06-03 10:38:43.800000, Res, 1 >
< S0, S2, 2024-06-03 10:38:43.800000, Req, 1 >
< S2, S2_5, 2024-06-03 10:38:43.800000, Req, 1 >
< S2_5, S2, 2024-06-03 10:38:44.400000, Res, 1 >
< S2, S2_3, 2024-06-03 10:38:44.400000, Req, 1 >
< S2_3, S2, 2024-06-03 10:38:45.700000, Res, 1 >
< S2, S2_4, 2024-06-03 10:38:45.700000, Req, 1 >
< S2_4, S2, 2024-06-03 10:38:46.900000, Res, 1 >
< S2, S2_1, 2024-06-03 10:38:46.900000, Req, 1 >
< S2_1, S2, 2024-06-03 10:38:47.600000, Res, 1 >
< S2, S0, 2024-06-03 10:38:47.600000, Res, 1 >
< S0, S4, 2024-06-03 10:38:47.600000, Req, 1 >
< S4, S4_1, 2024-06-03 10:38:47.600000, Req, 1 >
< S4_1, S4, 2024-06-03 10:38:49.100000, Res, 1 >
< S4, S0, 2024-06-03 10:38:49.100000, Res, 1 >
< S0, null, 2024-06-03 10:38:49.100000, Res, 1 >

Group: {1945, 2, 3179, 3865}
2:
< null, S0, 2024-06-03 09:35:01, Req, 2 >
< S0, S4, 2024-06-03 09:35:01, Req, 2 >
< S4, S4_5, 2024-06-03 09:35:01, Req, 2 >
< S4_5, S4, 2024-06-03 09:35:06.500000, Res, 2 >
< S4, S0, 2024-06-03 09:35:06.500000, Res, 2 >
< S0, S1, 2024-06-03 09:35:06.500000, Req, 2 >
< S1, S1_1, 2024-06-03 09:35:06.500000, Req, 2 >
< S1_1, S1, 2024-06-03 09:35:07.200000, Res, 2 >
< S1, S0, 2024-06-03 09:35:07.200000, Res, 2 >
< S0, null, 2024-06-03 09:35:07.200000, Res, 2 >

1945:
< null, S0, 2024-06-03 09:33:26, Req, 1945 >
< S0, S4, 2024-06-03 09:33:26, Req, 1945 >
< S4, S4_5, 2024-06-03 09:33:26, Req, 1945 >
< S4_5, S4, 2024-06-03 09:33:30.100000, Res, 1945 >
< S4, S0, 2024-06-03 09:33:30.100000, Res, 1945 >
< S0, S1, 2024-06-03 09:33:30.100000, Req, 1945 >
< S1, S1_1, 2024-06-03 09:33:30.100000, Req, 1945 >
< S1_1, S1, 2024-06-03 09:33:31, Res, 1945 >
< S1, S0, 2024-06-03 09:33:31, Res, 1945 >
< S0, null, 2024-06-03 09:33:31, Res, 1945 >

3179:
< null, S0, 2024-06-03 10:40:36, Req, 3179 >
< S0, S4, 2024-06-03 10:40:36, Req, 3179 >
< S4, S4_5, 2024-06-03 10:40:36, Req, 3179 >
< S4_5, S4, 2024-06-03 10:40:41, Res, 3179 >
< S4, S0, 2024-06-03 10:40:41, Res, 3179 >
< S0, S1, 2024-06-03 10:40:41, Req, 3179 >
< S1, S1_1, 2024-06-03 10:40:41, Req, 3179 >
< S1_1, S1, 2024-06-03 10:40:41.600000, Res, 3179 >
< S1, S0, 2024-06-03 10:40:41.600000, Res, 3179 >
< S0, null, 2024-06-03 10:40:41.600000, Res, 3179 >

3865:
< null, S0, 2024-06-03 10:20:19, Req, 3865 >
< S0, S4, 2024-06-03 10:20:19, Req, 3865 >
< S4, S4_5, 2024-06-03 10:20:19, Req, 3865 >
< S4_5, S4, 2024-06-03 10:20:21.700000, Res, 3865 >
< S4, S0, 2024-06-03 10:20:21.700000, Res, 3865 >
< S0, S1, 2024-06-03 10:20:21.700000, Req, 3865 >
< S1, S1_1, 2024-06-03 10:20:21.700000, Req, 3865 >
< S1_1, S1, 2024-06-03 10:20:22.300000, Res, 3865 >
< S1, S0, 2024-06-03 10:20:22.300000, Res, 3865 >
< S0, null, 2024-06-03 10:20:22.300000, Res, 3865 >

Group: {3}
3:
< null, S0, 2024-06-03 10:31:38, Req, 3 >
< S0, S5, 2024-06-03 10:31:38, Req, 3 >
< S5, S5_1, 2024-06-03 10:31:38, Req, 3 >
< S5_1, S5_1_3, 2024-06-03 10:31:38, Req, 3 >
< S5_1_3, S5_1, 2024-06-03 10:31:43, Res, 3 >
< S5_1, S5, 2024-06-03 10:31:43, Res, 3 >
< S5, S0, 2024-06-03 10:31:43, Res, 3 >
< S0, S1, 2024-06-03 10:31:43, Req, 3 >
< S1, S1_3, 2024-06-03 10:31:43, Req, 3 >
< S1_3, S1, 2024-06-03 10:31:43.100000, Res, 3 >
< S1, S0, 2024-06-03 10:31:43.100000, Res, 3 >
< S0, S2, 2024-06-03 10:31:43.100000, Req, 3 >
< S2, S2_4, 2024-06-03 10:31:43.100000, Req, 3 >
< S2_4, S2, 2024-06-03 10:31:44.300000, Res, 3 >
< S2, S2_2, 2024-06-03 10:31:44.300000, Req, 3 >
< S2_2, S2, 2024-06-03 10:31:45.700000, Res, 3 >
< S2, S2_5, 2024-06-03 10:31:45.700000, Req, 3 >
< S2_5, S2, 2024-06-03 10:31:46.200000, Res, 3 >
< S2, S2_3, 2024-06-03 10:31:46.200000, Req, 3 >
< S2_3, S2, 2024-06-03 10:31:47.300000, Res, 3 >
< S2, S2_1, 2024-06-03 10:31:47.300000, Req, 3 >
< S2_1, S2, 2024-06-03 10:31:48.600000, Res, 3 >
< S2, S0, 2024-06-03 10:31:48.600000, Res, 3 >
< S0, S4, 2024-06-03 10:31:48.600000, Req, 3 >
< S4, S4_3, 2024-06-03 10:31:48.600000, Req, 3 >
< S4_3, S4, 2024-06-03 10:31:50.900000, Res, 3 >
< S4, S0, 2024-06-03 10:31:50.900000, Res, 3 >
< S0, S3, 2024-06-03 10:31:50.900000, Req, 3 >
< S3, S3_1, 2024-06-03 10:31:50.900000, Req, 3 >
< S3_1, S3, 2024-06-03 10:31:55.400000, Res, 3 >
< S3, S3_2, 2024-06-03 10:31:55.400000, Req, 3 >
< S3_2, S3, 2024-06-03 10:31:58.800000, Res, 3 >
< S3, S3_3, 2024-06-03 10:31:58.800000, Req, 3 >
< S3_3, S3, 2024-06-03 10:32:03.700000, Res, 3 >
< S3, S0, 2024-06-03 10:32:03.700000, Res, 3 >
< S0, null, 2024-06-03 10:32:03.700000, Res, 3 >

Group: {4}
4:
< null, S0, 2024-06-03 09:04:27, Req, 4 >
< S0, S4, 2024-06-03 09:04:27, Req, 4 >
< S4, S4_1, 2024-06-03 09:04:27, Req, 4 >
< S4_1, S4, 2024-06-03 09:04:32.300000, Res, 4 >
< S4, S0, 2024-06-03 09:04:32.300000, Res, 4 >
< S0, S1, 2024-06-03 09:04:32.300000, Req, 4 >
< S1, S1_2, 2024-06-03 09:04:32.300000, Req, 4 >
< S1_2, S1, 2024-06-03 09:04:32.400000, Res, 4 >
< S1, S0, 2024-06-03 09:04:32.400000, Res, 4 >
