from,to,timestamp,type,user_id
null,S0,2024-06-13 09:05:44.000,Req,1
S0,S1,2024-06-13 09:05:44.000,Req,1
S1,S1_3,2024-06-13 09:05:44.000,Req,1
S1_3,S1,2024-06-13 09:05:44.003,Res,1
S1,S0,2024-06-13 09:05:44.003,Res,1
S0,S2,2024-06-13 09:05:44.003,Req,1
S2,S2_1,2024-06-13 09:05:44.003,Req,1
S2_1,S2,2024-06-13 09:05:44.006,Res,1
S2,S2_2,2024-06-13 09:05:44.006,Req,1
S2_2,S2,2024-06-13 09:05:44.009,Res,1
S2,S2_3,2024-06-13 09:05:44.009,Req,1
S2_3,S2,2024-06-13 09:05:44.012,Res,1
S2,S0,2024-06-13 09:05:44.012,Res,1
S0,S3,2024-06-13 09:05:44.012,Req,1
S3,S3_2,2024-06-13 09:05:44.012,Req,1
S3_2,S3,2024-06-13 09:05:44.016,Res,1
S3,S0,2024-06-13 09:05:44.016,Res,1
S0,S4,2024-06-13 09:05:44.016,Req,1
S4,S4_3,2024-06-13 09:05:44.016,Req,1
S4_3,S4,2024-06-13 09:05:44.019,Res,1
S4,S4_1,2024-06-13 09:05:44.019,Req,1
S4_1,S4,2024-06-13 09:05:44.022,Res,1
S4,S4_2,2024-06-13 09:05:44.022,Req,1
S4_2,S4,2024-06-13 09:05:44.025,Res,1
S4,S0,2024-06-13 09:05:44.025,Res,1
S0,null,2024-06-13 09:05:44.025,Res,1
null,S0,2024-05-19 20:14:22.000,Req,2
S0,S1,2024-05-19 20:14:22.000,Req,2
S1,S1_2,2024-05-19 20:14:22.000,Req,2
S1_2,S1,2024-05-19 20:14:22.003,Res,2
S1,S0,2024-05-19 20:14:22.003,Res,2
S0,S2,2024-05-19 20:14:22.003,Req,2
S2,S2_1,2024-05-19 20:14:22.003,Req,2
S2_1,S2,2024-05-19 20:14:22.006,Res,2
S2,S2_2,2024-05-19 20:14:22.006,Req,2
S2_2,S2,2024-05-19 20:14:22.009,Res,2
S2,S2_3,2024-05-19 20:14:22.009,Req,2
S2_3,S2,2024-05-19 20:14:22.012,Res,2
S2,S0,2024-05-19 20:14:22.012,Res,2
S0,S3,2024-05-19 20:14:22.012,Req,2
S3,S3_1,2024-05-19 20:14:22.012,Req,2
S3_1,S3,2024-05-19 20:14:22.016,Res,2
S3,S0,2024-05-19 20:14:22.016,Res,2
S0,S4,2024-05-19 20:14:22.016,Req,2
S4,S4_1,2024-05-19 20:14:22.016,Req,2
S4_1,S4,2024-05-19 20:14:22.019,Res,2
S4,S0,2024-05-19 20:14:22.019,Res,2
S0,null,2024-05-19 20:14:22.019,Res,2
null,S0,2024-04-25 08:33:45.000,Req,3
S0,S1,2024-04-25 08:33:45.000,Req,3
S1,S1_3,2024-04-25 08:33:45.000,Req,3
S1_3,S1,2024-04-25 08:33:45.003,Res,3
S1,S0,2024-04-25 08:33:45.003,Res,3
S0,S2,2024-04-25 08:33:45.003,Req,3
S2,S2_1,2024-04-25 08:33:45.003,Req,3
S2_1,S2,2024-04-25 08:33:45.006,Res,3
S2,S2_2,2024-04-25 08:33:45.006,Req,3
S2_2,S2,2024-04-25 08:33:45.009,Res,3
S2,S2_3,2024-04-25 08:33:45.009,Req,3
S2_3,S2,2024-04-25 08:33:45.012,Res,3
S2,S0,2024-04-25 08:33:45.012,Res,3
S0,S3,2024-04-25 08:33:45.012,Req,3
S3,S3_3,2024-04-25 08:33:45.012,Req,3
S3_3,S3,2024-04-25 08:33:45.016,Res,3
S3,S0,2024-04-25 08:33:45.016,Res,3
S0,S4,2024-04-25 08:33:45.016,Req,3
S4,S4_1,2024-04-25 08:33:45.016,Req,3
S4_1,S4,2024-04-25 08:33:45.019,Res,3
S4,S0,2024-04-25 08:33:45.019,Res,3
S0,null,2024-04-25 08:33:45.019,Res,3
null,S0,2024-05-05 05:32:43.000,Req,4
S0,S1,2024-05-05 05:32:43.000,Req,4
S1,S1_1,2024-05-05 05:32:43.000,Req,4
S1_1,S1,2024-05-05 05:32:43.003,Res,4
S1,S0,2024-05-05 05:32:43.003,Res,4
S0,S2,2024-05-05 05:32:43.003,Req,4
S2,S2_1,2024-05-05 05:32:43.003,Req,4
S2_1,S2,2024-05-05 05:32:43.006,Res,4
S2,S2_2,2024-05-05 05:32:43.006,Req,4
S2_2,S2,2024-05-05 05:32:43.009,Res,4
S2,S2_3,2024-05-05 05:32:43.009,Req,4
S2_3,S2,2024-05-05 05:32:43.012,Res,4
S2,S0,2024-05-05 05:32:43.012,Res,4
S0,S3,2024-05-05 05:32:43.012,Req,4
S3,S3_3,2024-05-05 05:32:43.012,Req,4
S3_3,S3,2024-05-05 05:32:43.016,Res,4
S3,S0,2024-05-05 05:32:43.016,Res,4
S0,S4,2024-05-05 05:32:43.016,Req,4
S4,S4_1,2024-05-05 05:32:43.016,Req,4
S4_1,S4,2024-05-05 05:32:43.019,Res,4
S4,S0,2024-05-05 05:32:43.019,Res,4
S0,null,2024-05-05 05:32:43.019,Res,4
null,S0,2024-05-24 05:33:25.000,Req,5
S0,S1,2024-05-24 05:33:25.000,Req,5
S1,S1_3,2024-05-24 05:33:25.000,Req,5
S1_3,S1,2024-05-24 05:33:25.003,Res,5
S1,S0,2024-05-24 05:33:25.003,Res,5
S0,S2,2024-05-24 05:33:25.003,Req,5
S2,S2_1,2024-05-24 05:33:25.003,Req,5
