from,to,timestamp,type,user_id
null,S0,2024-06-03 09:02:15.000,Req,001
S0,S1,2024-06-03 09:02:15.000,Req,001
S1,S1_1,2024-06-03 09:02:15.000,Req,001
S1_1,S1,2024-06-03 09:02:15.700,Res,001
S1,S0,2024-06-03 09:02:15.700,Res,001
S0,S2,2024-06-03 09:02:15.700,Req,001
S2,S2_5,2024-06-03 09:02:15.700,Req,001
S2_5,S2,2024-06-03 09:02:17.000,Res,001
S2,S2_4,2024-06-03 09:02:17.000,Req,001
S2_4,S2,2024-06-03 09:02:18.000,Res,001
S2,S2_2,2024-06-03 09:02:18.000,Req,001
S2_2,S2,2024-06-03 09:02:18.500,Res,001
S2,S0,2024-06-03 09:02:18.500,Res,001
S0,S3,2024-06-03 09:02:18.500,Req,001
S3,S3_1,2024-06-03 09:02:18.500,Req,001
S3_1,S3,2024-06-03 09:02:21.000,Res,001
S3,S3_2,2024-06-03 09:02:21.000,Req,001
S3_2,S3,2024-06-03 09:02:23.800,Res,001
S3,S3_3,2024-06-03 09:02:23.800,Req,001
S3_3,S3,2024-06-03 09:02:26.400,Res,001
S3,S0,2024-06-03 09:02:26.400,Res,001
S0,S4,2024-06-03 09:02:26.400,Req,001
S4,S4_5,2024-06-03 09:02:26.400,Req,001
S4_5,S4,2024-06-03 09:02:31.700,Res,001
S4,S0,2024-06-03 09:02:31.700,Res,001
S0,S5,2024-06-03 09:02:31.700,Req,001
S5,S0,2024-06-03 09:02:31.700,Res,001
S0,null,2024-06-03 09:02:31.700,Res,001
null,S0,2024-06-03 09:38:17.000,Req,002
S0,S1,2024-06-03 09:38:17.000,Req,002
S1,S1_3,2024-06-03 09:38:17.000,Req,002
S1_3,S1,2024-06-03 09:38:17.000,Res,002
S1,S0,2024-06-03 09:38:17.000,Res,002
S0,S2,2024-06-03 09:38:17.000,Req,002
S2,S2_1,2024-06-03 09:38:17.000,Req,002
S2_1,S2,2024-06-03 09:38:17.900,Res,002
S2,S2_2,2024-06-03 09:38:17.900,Req,002
S2_2,S2,2024-06-03 09:38:18.800,Res,002
S2,S2_3,2024-06-03 09:38:18.800,Req,002
S2_3,S2,2024-06-03 09:38:20.300,Res,002
S2,S2_5,2024-06-03 09:38:20.300,Req,002
S2_5,S2,2024-06-03 09:38:21.500,Res,002
S2,S0,2024-06-03 09:38:21.500,Res,002
S0,S3,2024-06-03 09:38:21.500,Req,002
S3,S3_1,2024-06-03 09:38:21.500,Req,002
S3_1,S3,2024-06-03 09:38:24.500,Res,002
S3,S3_2,2024-06-03 09:38:24.500,Req,002
S3_2,S3,2024-06-03 09:38:26.800,Res,002
S3,S3_3,2024-06-03 09:38:26.800,Req,002
S3_3,S3,2024-06-03 09:38:30.400,Res,002
S3,S0,2024-06-03 09:38:30.400,Res,002
S0,S4,2024-06-03 09:38:30.400,Req,002
S4,S4_5,2024-06-03 09:38:30.400,Req,002
S4_5,S4,2024-06-03 09:38:32.200,Res,002
S4,S0,2024-06-03 09:38:32.200,Res,002
S0,S5,2024-06-03 09:38:32.200,Req,002
S5,S0,2024-06-03 09:38:32.200,Res,002
S0,null,2024-06-03 09:38:32.200,Res,002
null,S0,2024-06-03 10:07:10.000,Req,003
S0,S1,2024-06-03 10:07:10.000,Req,003
S1,S1_2,2024-06-03 10:07:10.000,Req,003
S1_2,S1,2024-06-03 10:07:10.400,Res,003
S1,S0,2024-06-03 10:07:10.400,Res,003
S0,S2,2024-06-03 10:07:10.400,Req,003
S2,S2_1,2024-06-03 10:07:10.400,Req,003
S2_1,S2,2024-06-03 10:07:11.000,Res,003
S2,S2_4,2024-06-03 10:07:11.000,Req,003
S2_4,S2,2024-06-03 10:07:12.400,Res,003
S2,S2_5,2024-06-03 10:07:12.400,Req,003
S2_5,S2,2024-06-03 10:07:13.400,Res,003
S2,S2_3,2024-06-03 10:07:13.400,Req,003
S2_3,S2,2024-06-03 10:07:14.400,Res,003
S2,S0,2024-06-03 10:07:14.400,Res,003
S0,S3,2024-06-03 10:07:14.400,Req,003
S3,S3_1,2024-06-03 10:07:14.400,Req,003
S3_1,S3,2024-06-03 10:07:16.900,Res,003
S3,S3_2,2024-06-03 10:07:16.900,Req,003
S3_2,S3,2024-06-03 10:07:19.400,Res,003
S3,S3_3,2024-06-03 10:07:19.400,Req,003
S3_3,S3,2024-06-03 10:07:23.300,Res,003
S3,S0,2024-06-03 10:07:23.300,Res,003
S0,S4,2024-06-03 10:07:23.300,Req,003
S4,S4_5,2024-06-03 10:07:23.300,Req,003
S4_5,S4,2024-06-03 10:07:29.700,Res,003
S4,S0,2024-06-03 10:07:29.700,Res,003
S0,S5,2024-06-03 10:07:29.700,Req,003
S5,S0,2024-06-03 10:07:29.700,Res,003
S0,null,2024-06-03 10:07:29.700,Res,003
null,S0,2024-06-03 10:25:23.000,Req,004
S0,S1,2024-06-03 10:25:23.000,Req,004
S1,S1_1,2024-06-03 10:25:23.000,Req,004
S1_1,S1,2024-06-03 10:25:23.500,Res,004
S1,S0,2024-06-03 10:25:23.500,Res,004
S0,S2,2024-06-03 10:25:23.500,Req,004
S2,S2_1,2024-06-03 10:25:23.500,Req,004
S2_1,S2,2024-06-03 10:25:24.200,Res,004
S2,S0,2024-06-03 10:25:24.200,Res,004
S0,S3,2024-06-03 10:25:24.200,Req,004
S3,S3_1,2024-06-03 10:25:24.200,Req,004
S3_1,S3,2024-06-03 10:25:27.100,Res,004
S3,S3_2,2024-06-03 10:25:27.100,Req,004
S3_2,S3,2024-06-03 10:25:31.900,Res,004
S3,S3_3,2024-06-03 10:25:31.900,Req,004
S3_3,S3,2024-06-03 10:25:36.200,Res,004
S3,S0,2024-06-03 10:25:36.200,Res,004
S0,S4,2024-06-03 10:25:36.200,Req,004
S4,S4_4,2024-06-03 10:25:36.200,Req,004
S4_4,S4,2024-06-03 10:25:45.300,Res,004
S4,S0,2024-06-03 10:25:45.300,Res,004
S0,S5,2024-06-03 10:25:45.300,Req,004
S5,S0,2024-06-03 10:25:45.300,Res,004
S0,null,2024-06-03 10:25:45.300,Res,004
