from,to,timestamp,type,user_id
null,S0,2024-06-03 09:01:12.000,Req,0001
S0,S1,2024-06-03 09:01:12.000,Req,0001
S1,S1_3,2024-06-03 09:01:12.000,Req,0001
S1_3,S1,2024-06-03 09:01:12.100,Res,0001
S1,S0,2024-06-03 09:01:12.100,Res,0001
S0,S2,2024-06-03 09:01:12.100,Req,0001
S2,S2_5,2024-06-03 09:01:12.100,Req,0001
S2_5,S2,2024-06-03 09:01:13.200,Res,0001
S2,S2_1,2024-06-03 09:01:13.200,Req,0001
S2_1,S2,2024-06-03 09:01:14.000,Res,0001
S2,S0,2024-06-03 09:01:14.000,Res,0001
S0,S3,2024-06-03 09:01:14.000,Req,0001
S3,S3_1,2024-06-03 09:01:14.000,Req,0001
S3_1,S3,2024-06-03 09:01:16.800,Res,0001
S3,S3_2,2024-06-03 09:01:16.800,Req,0001
S3_2,S3,2024-06-03 09:01:18.900,Res,0001
S3,S3_3,2024-06-03 09:01:18.900,Req,0001
S3_3,S3,2024-06-03 09:01:23.400,Res,0001
S3,S0,2024-06-03 09:01:23.400,Res,0001
S0,null,2024-06-03 09:01:23.400,Res,0001
null,S0,2024-06-03 09:37:34.000,Req,0002
S0,S3,2024-06-03 09:37:34.000,Req,0002
S3,S3_1,2024-06-03 09:37:34.000,Req,0002
S3_1,S3,2024-06-03 09:37:37.300,Res,0002
S3,S3_2,2024-06-03 09:37:37.300,Req,0002
S3_2,S3,2024-06-03 09:37:39.800,Res,0002
S3,S3_3,2024-06-03 09:37:39.800,Req,0002
S3_3,S3,2024-06-03 09:37:44.600,Res,0002
S3,S0,2024-06-03 09:37:44.600,Res,0002
S0,S4,2024-06-03 09:37:44.600,Req,0002
S4,S4_1,2024-06-03 09:37:44.600,Req,0002
S4_1,S4,2024-06-03 09:37:50.100,Res,0002
S4,S0,2024-06-03 09:37:50.100,Res,0002
S0,null,2024-06-03 09:37:50.100,Res,0002
null,S0,2024-06-03 09:20:27.000,Req,0003
S0,S3,2024-06-03 09:20:27.000,Req,0003
S3,S3_1,2024-06-03 09:20:27.000,Req,0003
S3_1,S3,2024-06-03 09:20:31.100,Res,0003
S3,S3_2,2024-06-03 09:20:31.100,Req,0003
S3_2,S3,2024-06-03 09:20:33.300,Res,0003
S3,S3_3,2024-06-03 09:20:33.300,Req,0003
S3_3,S3,2024-06-03 09:20:37.700,Res,0003
S3,S0,2024-06-03 09:20:37.700,Res,0003
S0,S5,2024-06-03 09:20:37.700,Req,0003
S5,S5_1,2024-06-03 09:20:37.700,Req,0003
S5_1,S5_1_1,2024-06-03 09:20:37.700,Req,0003
S5_1_1,S5_1,2024-06-03 09:20:45.600,Res,0003
S5_1,S5,2024-06-03 09:20:45.600,Res,0003
S5,S0,2024-06-03 09:20:45.600,Res,0003
S0,S1,2024-06-03 09:20:45.600,Req,0003
S1,S1_1,2024-06-03 09:20:45.600,Req,0003
S1_1,S1,2024-06-03 09:20:45.700,Res,0003
S1,S0,2024-06-03 09:20:45.700,Res,0003
S0,S2,2024-06-03 09:20:45.700,Req,0003
