,bucket,user_1,user_2,approximate jaccard
0,1,238,27,0.7109375
1,1,238,208,0.765625
2,1,238,104,0.8984375
3,1,238,11,0.875
4,1,238,125,0.90625
5,1,238,74,0.9453125
6,1,238,325,0.9296875
7,1,238,327,0.8359375
8,1,238,92,0.8515625
9,1,238,153,0.8515625
10,1,238,94,0.734375
11,1,238,240,0.7109375
12,1,238,72,0.8359375
13,1,238,241,0.8515625
14,1,238,100,0.8203125
15,1,238,33,0.890625
16,1,238,141,0.7109375
17,1,238,4,0.7109375
18,1,238,353,0.875
19,1,238,37,0.7109375
20,1,238,225,0.734375
21,1,238,187,0.8125
22,1,238,346,0.953125
23,1,238,106,0.8359375
24,1,238,157,0.796875
25,1,238,71,0.890625
26,1,238,32,0.84375
27,1,238,39,0.734375
28,1,238,250,0.9375
29,1,238,188,0.8828125
30,1,238,1,0.8671875
31,1,238,123,0.921875
32,1,238,50,0.7421875
33,1,238,190,0.8359375
34,1,238,101,0.8671875
35,1,238,194,0.9140625
36,1,238,322,0.8828125
37,1,238,63,0.84375
38,1,238,333,0.7109375
39,1,238,244,0.7109375
40,1,238,345,0.8515625
41,1,238,249,0.78125
42,1,238,185,0.875
43,1,238,88,0.7109375
44,1,238,97,0.921875
45,1,238,80,0.8359375
46,1,238,189,0.828125
47,1,238,64,0.8359375
48,1,238,253,0.8125
49,1,238,315,0.8828125
50,1,238,202,0.734375
51,1,238,111,0.875
52,1,238,306,0.875
53,1,238,9,0.8515625
54,1,238,299,0.6953125
55,1,238,246,0.875
56,1,238,206,0.8515625
57,1,238,304,0.8125
58,1,238,295,0.8359375
59,1,238,57,0.7890625
60,1,238,226,0.875
61,1,238,235,0.8125
62,1,238,291,0.9140625
63,1,238,232,0.7890625
64,1,238,243,0.859375
65,1,238,283,0.8671875
66,1,238,79,0.7265625
67,1,27,238,0.7109375
68,1,27,208,0.8984375
69,1,27,104,0.8046875
70,1,27,11,0.7578125
71,1,27,125,0.7578125
72,1,27,74,0.6875
73,1,27,325,0.78125
74,1,27,327,0.7890625
75,1,27,92,0.828125
76,1,27,153,0.7890625
77,1,27,94,0.9453125
78,1,27,240,1.0
79,1,27,72,0.7890625
80,1,27,241,0.8203125
81,1,27,100,0.8359375
82,1,27,33,0.78125
83,1,27,141,1.0
84,1,27,4,1.0
85,1,27,353,0.7578125
86,1,27,37,1.0
87,1,27,225,0.9453125
88,1,27,187,0.828125
89,1,27,346,0.7578125
90,1,27,106,0.7890625
91,1,27,157,0.8984375
92,1,27,71,0.8125
93,1,27,32,0.859375
94,1,27,39,0.9453125
95,1,27,250,0.734375
96,1,27,188,0.8203125
97,1,27,1,0.8359375
98,1,27,123,0.7578125
99,1,27,50,0.921875
100,1,27,190,0.8515625
101,1,27,101,0.8359375
102,1,27,194,0.7890625
103,1,27,322,0.7890625
104,1,27,63,0.859375
105,1,27,333,1.0
106,1,27,244,1.0
107,1,27,345,0.828125
108,1,27,249,0.8984375
109,1,27,185,0.796875
110,1,27,88,1.0
111,1,27,97,0.7578125
112,1,27,80,0.7890625
113,1,27,189,0.875
114,1,27,64,0.8359375
115,1,27,253,0.765625
116,1,27,315,0.7890625
117,1,27,202,0.9765625
118,1,27,111,0.7578125
119,1,27,306,0.828125
120,1,27,9,0.8203125
121,1,27,299,0.984375
122,1,27,246,0.8046875
123,1,27,206,0.828125
124,1,27,304,0.8984375
125,1,27,295,0.7890625
126,1,27,57,0.8359375
127,1,27,226,0.796875
128,1,27,235,0.8671875
129,1,27,291,0.765625
130,1,27,232,0.8359375
131,1,27,243,0.78125
132,1,27,283,0.8046875
133,1,27,79,0.984375
134,1,208,238,0.765625
135,1,208,27,0.8984375
136,1,208,104,0.8671875
137,1,208,11,0.8125
138,1,208,125,0.8515625
139,1,208,74,0.7421875
140,1,208,325,0.7890625
141,1,208,327,0.8515625
142,1,208,92,0.8125
143,1,208,153,0.828125
144,1,208,94,0.921875
145,1,208,240,0.8984375
146,1,208,72,0.8515625
147,1,208,241,0.828125
148,1,208,100,0.9375
149,1,208,33,0.8359375
150,1,208,141,0.8984375
151,1,208,4,0.8984375
152,1,208,353,0.8515625
153,1,208,37,0.8984375
154,1,208,225,0.921875
155,1,208,187,0.8046875
156,1,208,346,0.8125
157,1,208,106,0.8515625
158,1,208,157,0.96875
159,1,208,71,0.828125
160,1,208,32,0.875
161,1,208,39,0.921875
162,1,208,250,0.7890625
163,1,208,188,0.8828125
164,1,208,1,0.8984375
165,1,208,123,0.84375
166,1,208,50,0.9765625
167,1,208,190,0.921875
168,1,208,101,0.8984375
169,1,208,194,0.8515625
170,1,208,322,0.8828125
171,1,208,63,0.875
172,1,208,333,0.8984375
173,1,208,244,0.8984375
174,1,208,345,0.8125
175,1,208,249,0.875
176,1,208,185,0.84375
177,1,208,88,0.8984375
178,1,208,97,0.84375
179,1,208,80,0.8515625
180,1,208,189,0.890625
181,1,208,64,0.9296875
182,1,208,253,0.828125
183,1,208,315,0.8828125
184,1,208,202,0.921875
185,1,208,111,0.8125
186,1,208,306,0.84375
187,1,208,9,0.828125
188,1,208,299,0.9140625
189,1,208,246,0.78125
190,1,208,206,0.8125
191,1,208,304,0.84375
192,1,208,295,0.8046875
193,1,208,57,0.9375
194,1,208,226,0.84375
195,1,208,235,0.8046875
196,1,208,291,0.8046875
197,1,208,232,0.9375
198,1,208,243,0.8671875
199,1,208,283,0.8984375
200,1,208,79,0.8828125
