from,to,timestamp,type,user_id
S0,null,2024-06-03T09:29:06.900+02:00,Res,44
S2,S0,2024-06-03T09:29:06.900+02:00,Res,44
S2_3,S2,2024-06-03T09:29:06.900+02:00,Res,44
S2,S2_3,2024-06-03T09:29:05.700+02:00,Req,44
S2_1,S2,2024-06-03T09:29:05.700+02:00,Res,44
S2,S2_1,2024-06-03T09:29:04.500+02:00,Req,44
S2_4,S2,2024-06-03T09:29:04.500+02:00,Res,44
S2,S2_4,2024-06-03T09:29:03.600+02:00,Req,44
S2_5,S2,2024-06-03T09:29:03.600+02:00,Res,44
S2,S2_5,2024-06-03T09:29:02.400+02:00,Req,44
S0,S2,2024-06-03T09:29:02.400+02:00,Req,44
S4,S0,2024-06-03T09:29:02.400+02:00,Res,44
S4_5,S4,2024-06-03T09:29:02.400+02:00,Res,44
S4,S4_5,2024-06-03T09:28:58.400+02:00,Req,44
S0,S4,2024-06-03T09:28:58.400+02:00,Req,44
S3,S0,2024-06-03T09:28:58.400+02:00,Res,44
S3_3,S3,2024-06-03T09:28:58.400+02:00,Res,44
S3,S3_3,2024-06-03T09:28:54.200+02:00,Req,44
S3_2,S3,2024-06-03T09:28:54.200+02:00,Res,44
S3,S3_2,2024-06-03T09:28:49.700+02:00,Req,44
S3_1,S3,2024-06-03T09:28:49.700+02:00,Res,44
S3,S3_1,2024-06-03T09:28:47.200+02:00,Req,44
S0,S3,2024-06-03T09:28:47.200+02:00,Req,44
S5,S0,2024-06-03T09:28:47.200+02:00,Res,44
S5_1,S5,2024-06-03T09:28:47.200+02:00,Res,44
S5_1_1,S5_1,2024-06-03T09:28:47.200+02:00,Res,44
S5_1,S5_1_1,2024-06-03T09:28:42.000+02:00,Req,44
S5,S5_1,2024-06-03T09:28:42.000+02:00,Req,44
S0,S5,2024-06-03T09:28:42.000+02:00,Req,44
null,S0,2024-06-03T09:28:42.000+02:00,Req,44
S0,null,2024-06-03T10:21:24.700+02:00,Res,45
S5,S0,2024-06-03T10:21:24.700+02:00,Res,45
S5_2,S5,2024-06-03T10:21:24.700+02:00,Res,45
S5_2_2,S5_2,2024-06-03T10:21:24.700+02:00,Res,45
S5_2,S5_2_2,2024-06-03T10:21:20.000+02:00,Req,45
